cname,phone,website,email,url
Birgunj Public College,051-532198,https://bpcbirgunj.edu.np/,info@bpcbirgunj.edu.np,https://www.collegesnepal.com/birgunj-public-college/
Bishwobhasa Campus,01-4228916,www.bishwobhasa.edu.np,info@bishwobhasa.edu.np,https://www.collegesnepal.com/biswabhasa-campus/
Bluebird SS/ College,01-5455142,www.bluebird.edu.np,bluebirdkumaripati@gmail.com,https://www.collegesnepal.com/bluebird-ss-college/
Boston International College,056-598892,http://bostoncollege.edu.np/,info@bostoncollege.edu.np,https://www.collegesnepal.com/boston-international-college/
BP Koirala Institute of Health Sciences,025-525555,www.bpkihs.edu,bpkihs@bpkihs.edu,https://www.collegesnepal.com/bpkihs-bp-koirala-institute-of-health-sciences/
Bridgewater International College,977 1 4481590,https://www.bridgewater.com.np/,info@bridgewater.com.np,https://www.collegesnepal.com/bridgewater-international-college/
Brightland Secondary School and College,081-530602,http://brightlandcollege.edu.np/,blc.npj@gmail.com,https://www.collegesnepal.com/brightland-secondary-school-and-college/
Brihaspati College,01-4518030,http://www.bvs.edu.np,info@bvs.edu.np,https://www.collegesnepal.com/brihaspati-college/
Brilliant Multiple Campus,01-4578687,www.brilliant.edu.np,info@brilliant.edu.np,https://www.collegesnepal.com/brilliant-multiple-campus/
British Gurkha College,4373607,https://www.britishgurkhacollege.edu.np,info@britishgurkhacollege.edu.np,https://www.collegesnepal.com/british-gurkha-college/
Brixton College,01-590158,https://brixtoncollege.edu.np/,info@brixtoncollege.edu.np,https://www.collegesnepal.com/brixton-college/
Brookfield International College,01-4110646,brookfield.edu.np,info@brookfield.edu.np,https://www.collegesnepal.com/brookfield-international-college/
Brooklyn College,+977-01-4375365,http://www.befnepal.edu.np/,info@befnepal.edu.np,https://www.collegesnepal.com/brooklyn-college/
BST College - Bishnumati Higher Secondary School,+977 014989784,https://bstcollege.edu.np,info@bstcollege.edu.np,https://www.collegesnepal.com/bst-college-bishnumati-higher-secondary-school/
Butwal Kalika Campus,071-543457,https://btlkalikacampus.edu.np/,butwalkalikacampus@gmail.com,https://www.collegesnepal.com/butwal-kalika-campus/
Butwal Multiple Campus,071-540134,https://bumc.edu.np,butwalmcampus@gmail.com,https://www.collegesnepal.com/butwal-multiple-campus/
Butwal Public School,071-420094,http://bps.edu.np/,butwalpublicschool@hotmail.com,https://www.collegesnepal.com/butwal-public-school/
Camad College,01-4112191,www.camadcollege.edu.np,camadcollege7@gmail.com,https://www.collegesnepal.com/camad-college/
Cambridge International College,01-5219858,https://cambridgecollegekalanki.edu.np/,info@cambridgecollegekalanki.edu.np,https://www.collegesnepal.com/cambridge-international-college/
Camellia College of Management,01-4278303,https://camellia.edu.np/,info@camellia.edu.np,https://www.collegesnepal.com/camellia-college-of-management/
Campion Academy,01-5535131,https://campionacademy.edu.np/,info.campion@cgeducation.com.np,https://www.collegesnepal.com/campion-academy/
Campion College,5431994,https://campioncollege.edu.np/,info.cc@cgeducation.com.np,https://www.collegesnepal.com/campion-college/
Campion Kathmandu College,"01-4531494, 4531495",https://campionkathmandu.edu.np/,info.ckhs@gmail.com,https://www.collegesnepal.com/campion-kathmandu-college/
Canvas International College,01-4980304,www.canvascollege.edu.np,info@canvascollege.edu.np,https://www.collegesnepal.com/canvas-international-college/
Capital College and Research Center,5100423,www.ccrc.edu.np,info@ccrc.edu.np,https://www.collegesnepal.com/capital-college-and-research-center/
Capitol Hill college,+1 980-810-3082,http//www.capitolhill.edu.np,info.capitolhillcollege@gmail.com,https://www.collegesnepal.com/capitol-hill-college/
Caspian Valley College,01-5524065,https://caspian.edu.np/,info@caspian.edu.np,https://www.collegesnepal.com/caspian-valley-college/
CCMA College Pvt. Ltd,01-4438197,https://ccma.edu.np/,ccma2003@gmail.com,https://www.collegesnepal.com/ccma-college-pvt-ltd/
Central Campus of Technology,025-570228,www.cctdharan.edu.np/,info@cct.tu.edu.np,https://www.collegesnepal.com/central-campus-of-technology/
Central College,01-4110646,https://centralcollege.edu.np/,info@centralcollege.edu.np,https://www.collegesnepal.com/central-college/
Central Department of Hydrology and Meteorology,01-4331418,https://www.cdhmtu.edu.np/,info@cdhmtu.edu.np,https://www.collegesnepal.com/central-department-of-hydrology-and-meteorology/
Central Department of Management,01-4330487,https://fomcdmtu.edu.np/,info@fomcdmtu.edu.np,https://www.collegesnepal.com/central-department-of-management/
Central Department of Mathematics,01-4331977,http://www.cdmathtu.edu.np/,info@cdmathtu.edu.np/,https://www.collegesnepal.com/central-department-of-mathematics-tribhuvan-university/
Central Department of Mathematics Education,01-4331977,http://www.cdmathtu.edu.np/,info@cdmathtu.edu.np,https://www.collegesnepal.com/central-department-of-mathematics-education/
Central Department of Microbiology,01-4331869,https://microbiotu.edu.np/,cdm1990@microbiotu.edu.np,https://www.collegesnepal.com/central-department-of-microbiology/
Central Department of Psychology,01-4332539,http://psychologytu.edu.np/,info@psychologytu.edu.np,https://www.collegesnepal.com/central-department-of-psychology/
Central Department of Sociology and Anthropology,01-4331852,https://cdsatu.edu.np/,cdso@cdsatu.edu.np.,https://www.collegesnepal.com/central-department-of-sociology-and-anthropology/
Central Engineering College,041-527336,https://cecnti.com/,centralegg@gmail.com,https://www.collegesnepal.com/central-engineering-college/
Certified College of Accountancy(CCA),01-5244697,https://cca.edu.np/,cca.nepal@gmail.com,https://www.collegesnepal.com/certified-college-of-accountancy/
CG Institute of Management (CGIM),01-4107101,https://www.cgim.edu.np,info@cgim.edu.np,https://www.collegesnepal.com/cg-institute-of-management-cgim/
Chaitanya Institute of Management,01-4782427,https://chaitanya.org.np/,info@chaitanya.org.np,https://www.collegesnepal.com/chaitanya-institute-of-management/
Chaitanya Multiple Campus,011-661722,http://chaitanya.edu.np,info@chaitanya.edu.np,https://www.collegesnepal.com/chaitanya-multiple-campus/
Chakrabarti HaBi Education Academy,01-4795808,https://chbea.edu.np/,info@chbea.edu.np,https://www.collegesnepal.com/chakrabarti-habi-ecducation-academy/
Chartered Academics International(CAI),01-4168051,cainnepal.edu.np,info@cainepal.edu.np,https://www.collegesnepal.com/chartered-academics-international-cai/
Chaturbhujeshwor Janata Campus,046-530413,https://www.cjmcsarlahi.edu.np/,info@cjmcsarlahi.edu.np,https://www.collegesnepal.com/chaturbhujeshwor-janata-campus/
Chautara Multiple Campus,011620442,https://www.chautaramultiplecampus.com/,chautaracampus@yahoo.com,https://www.collegesnepal.com/chautara-multiple-campus/
Childrens Paradise Secondary School,083524080,https://www.cpssurkhet.edu.np/,info@cpssurkhet.edu.np,https://www.collegesnepal.com/childrens-paradise-secondary-school/
Chiran Milan Bishwa Shanti Campus,01-4017015,https://bishwashanticampus.edu.np/,bishwashanticampus2018@gmail.com,https://www.collegesnepal.com/chiran-milan-bishwa-shanti-campus/
Chitwan Medical College,(+977) 056-493111,http://www.cmc.edu.np/,admission@cmc.edu.np,https://www.collegesnepal.com/chitwan-medical-college/
Chitwan School of Medical Sciences,056-525012,https://cmsnepal.edu.np/,info@cmsnepal.edu.np,https://www.collegesnepal.com/chitwan-school-of-medical-sciences/
CIMA Academics Pvt. Ltd,01-4011038,www.cimaca.edu.np,mailtocima@gmail.com,https://www.collegesnepal.com/cima-academics-pvt-ltd/
CIST College,4573570,www.cist.edu.np,info@cist.edu.np,https://www.collegesnepal.com/cist-college/
CITE-College of Information Technology and Engineering,01-4111840,www.cit.edu.np,info@cit.edu.np,https://www.collegesnepal.com/cite-college-of-information-technology-and-engineering/
Citizen College,01-5545684,www.citizencollege.edu.np,info@citizencollege.edu.np,https://www.collegesnepal.com/citizen-college/
Classic College International,01-4110433,www.classiccollege.edu.np,ccinepal@gmail.com,https://www.collegesnepal.com/classic-college-international/
College of Applied Business,01-4576119,www.cab.edu.np,cab@cab.edu.np,https://www.collegesnepal.com/college-of-applied-business/
College Of Applied Food And Dairy Technology,+977 1-5454543,www.cafodat.edu.np,info@cafodat.edu.np,https://www.collegesnepal.com/college-of-applied-food-and-dairy-technology/
College of Applied Sciences,01-6211842,www.casnepal.edu.np,info@casnepal.edu.np,https://www.collegesnepal.com/college-of-applied-sciences/
College of Biomedical Engineering and Applied Sciences,+977-1-5911895,http://www.biomedical.edu.np/,info@biomedical.edu.np,https://www.collegesnepal.com/college-of-biomedical-engineering-and-applied-sciences/
College of Business Management,01-4539716,www.cbm.edu.np,info@cbm.com.np,https://www.collegesnepal.com/college-of-business-management/
College of Dental Surgery,977-25-525555,https://www.bpkihs.edu/,bpkihs@bpkihs.edu,https://www.collegesnepal.com/college-of-dental-surgery/
College of Development Studies,01-4488312,cds.edu.np,info@cds.edu.np,https://www.collegesnepal.com/college-of-development-studies/
College of Journalism and Mass Communication,01-5222102,https://www.cjmc.edu.np/,cjmc.cjmc2001@gmail.com,https://www.collegesnepal.com/college-of-journalism-and-mass-communication/
College of Medical Science,+977-056-493012,www.cmsnepal.edu.np,info@cmsnepal.edu.np,https://www.collegesnepal.com/college-of-medical-science/
Columbus College,01-4791747,https://www.columbus.edu.np/,info@columbus.edu.np,https://www.collegesnepal.com/columbus-college/
Cosmos College of Management and Technology,+977 01-5151411,www.cosmoscollege.edu.np,info@cosmoscollege.edu.np,https://www.collegesnepal.com/cosmos-college-of-management-and-technology/
Cosmos International College,061-541324,www.cosmos.edu.np,info@cosmos.edu.np,https://www.collegesnepal.com/cosmos-international-college/
Crescent Hotel Management College,091-526108,http://www.crescent.edu.np/,iaewpdpjoshi@gmail.com,https://www.collegesnepal.com/crescent-hotel-management-college/
Crimson College of Technology,071-410380,http://www.cct.edu.np/,info@cct.edu.np,https://www.collegesnepal.com/crimson-college-of-computer-technology/
Crimson International College,01-4782414,crimson.edu.np,info@crimson.edu.np,https://www.collegesnepal.com/crimson-international-college/
Dadeldhura Paramedical Campus,+977-96-690815,http://www.rdsc.org.np,dpmc2066@yahoo.com,https://www.collegesnepal.com/dadeldhura-paramedical-campus/
Damak Multiple Campus,023-590232,http://damakcampus.edu.np/,info@damakcampus.edu.np,https://www.collegesnepal.com/damak-multiple-campus/
Damauli College of Higher Studies,065-564795,https://damaulicollege.edu.np/,damaulicollege@gmail.com,https://www.collegesnepal.com/damauli-college-of-higher-studies/
Darchula Multiple Campus,093-420219,http://dmcdarchula.edu.np/,info@dmcdarchula.edu.np,https://www.collegesnepal.com/darchula-multiple-campus/
DAV College,01-5451154,https://plustwo.davnepal.com/,dav.college@gmail.com,https://www.collegesnepal.com/dav-college/
DAV College of Management,"01-5429029, 5433044",https://davcollege.edu.np/,davcollege.tu@gmail.com,https://www.collegesnepal.com/dav-college-of-management/
Deerwalk Institute of Technology (DWIT),01-4585424,https://deerwalk.edu.np/DWIT/,contact@deerwalk.edu.np,https://www.collegesnepal.com/deerwalk-institute-of-technology-dwit/
Deerwalk Sifal School,01-4591240,https://deerwalk.edu.np/sifalschool/,contact@sifal.deerwalk.edu.np,https://www.collegesnepal.com/deerwalk-sifal-school/
Deurali Professional Academy Pvt. Ltd,+977 9801096904,https://deuraliprofessionalacademy.com/,Info@deuraliprofessionalacademy.com,https://www.collegesnepal.com/deurali-professional-academy-pvt-ltd/
Devdaha Medical College and Research Institute,071-403001,https://dmcri.edu.np/,devdahamedicalcollege@gmail.com,https://www.collegesnepal.com/devdaha-medical-college-and-research-institute/
Dhankuta Multiple Campus,026-522298,https://dmcampus.edu.np/,dktcampus@gmail.com,https://www.collegesnepal.com/dhankuta-multiple-campus/
Dhanusa Science Campus,041-523767,www.dsc.edu.np,info@dsc.edu.np,https://www.collegesnepal.com/dhanusa-science-campus/
Dharan College of Management,025-527062,https://dcm.edu.np/contact-us/,dcm.drn@gmail.com,https://www.collegesnepal.com/dharan-college-of-management/
Dhawalagiri Multiple Campus,068-520113,http://tu-dmcbaglung.edu.np/,dmcbaglung@gmail.com,https://www.collegesnepal.com/dhawalagiri-multiple-campus/
Dhawalagiri Technical School,+977-69-690028,https://dts.edu.np/,dts_ctevt@yahoo.com,https://www.collegesnepal.com/dhawalagiri-technical-school/
Dhulikhel Sanjeevani Campus,011-490574,https://www.sanjiwanicollege.edu.np/,info@sanjiwanicollege.edu.np,https://www.collegesnepal.com/dhulikhel-sanjeevani-campus/
Diamond Higher Secondary School,061-560146,www.diamondhss.edu.np,info@diamondhss.edu.np,https://www.collegesnepal.com/diamond-higher-secondary-school/
Diktel Multiple Campus,036-420119,http://diktelmultiplecampus.edu.np/,diktelcampus@gmail.com,https://www.collegesnepal.com/diktel-multiple-campus/
Dillibazar Kanya Multiple Campus,984-1224589,www.dkcollege.edu.np,dkmc.college@gmail.com,https://www.collegesnepal.com/dillibazar-kanya-multiple-campus/
Divya Gyan College,01-4246070,https://www.divyagyan.edu.np,info@divyagyan.edu.np,https://www.collegesnepal.com/divya-gyan-college/
Divya Jyoti Secondary School,977-078580207,https://djss.edu.np/,dibyajyotiss034@gmail.com,https://www.collegesnepal.com/divya-jyoti-secondary-school/
Doti Multiple Campus,094-411110,https://dmc.edu.np/,info@dmc.edu.np,https://www.collegesnepal.com/doti-multiple-campus/
Drabya Shah Multiple Campus,064-411228,https://www.dsmc.edu.np/,info@dsmc.edu.np,https://www.collegesnepal.com/drabya-shah-multiple-campus/
Dronachal Education Campus,089-411028,https://dronachalcampus.edu.np/,campusdronachal125@gmail.com,https://www.collegesnepal.com/dronachal-education-campus/
East-Pole Secondary School,01-4911575,https://www.eastpoleschool.edu.np/,info@eastpoleschool.edu.np,https://www.collegesnepal.com/east-pole-secondary-school/
Eastern College of Engineering,021-516925,www.eascoll.edu.np,info@eascoll.edu.np,https://www.collegesnepal.com/eastern-college-of-engineering/
ED-Mark Academy,01-5225081,http://www.edmark.edu.np/,info@edmark.edu.np,https://www.collegesnepal.com/ed-mark-academy/
Einstein Academy Secondary School,01-5170418,https://www.einsteinacademy.edu.np/,einsteinacademynepal@gmail.com,https://www.collegesnepal.com/einstein-academy-secondary-school/
Elim Academy,01-4720098,https://elimkids.edu.np/,info@elimkids.edu.np,https://www.collegesnepal.com/elim-academy/
Emerald Technical School,+977-1-4380694,http://www.etc.edu.np/,info@etc.edu.np,https://www.collegesnepal.com/emerald-technical-school/
Eternal Light Public Secondary School,01-4358103,http://www.eliphss.edu.np/,info@eliphss.edu.np,https://www.collegesnepal.com/eternal-light-public-secondary-school/
Everest College,01 5366652,www.everestcollege.edu.np,info@everestcollege.edu.np,https://www.collegesnepal.com/everest-college/
Everest College of Multiple Studies,01-4352224,http://www.emc.edu.np/,emc@emc.edu.np,https://www.collegesnepal.com/everest-college-of-multiple-studies/
Everest College of Nursing,01-4111245,www.Everestcollegeofnursing.com,info@everestcollegeofnursing.com,https://www.collegesnepal.com/everest-college-of-nursing/
Everest Engineering and Management College,01-5520742,https://www.eemc.edu.np/,admin@eemc.edu.np,https://www.collegesnepal.com/everest-engineering-and-management-college/
Everest Florida Secondary School,014105268,https://everestflorida.edu.np/,info@everestflorida.edu.np,https://www.collegesnepal.com/everest-florida-secondary-school/
Everest Innovative School/ College,01-5374590,https://eiccollege.edu.np/,everestic1@gmail.com,https://www.collegesnepal.com/everest-innovative-school-college/
Everest International College,01-4274590,https://eicollege.edu.np,info@eicollege.edu.np,https://www.collegesnepal.com/everest-international-college/
Excel Business College,01-4585109,https://excelcollege.edu.np/,info@excelcollege.edu.np,https://www.collegesnepal.com/excel-international-college/
Forbes College,056-594300,https://www.forbescollege.edu.np/,info@forbescollege.edu.np,https://www.collegesnepal.com/forbes-college/
Forestry Campus,057-520453,https://iofhc.edu.np/,info@hc.tu.edu.np,https://www.collegesnepal.com/forestry-campus/
Galaxy Public School,01-4510076,http://www.galaxy.edu.np,admin@galaxy.edu.np,https://www.collegesnepal.com/galaxy-public-school/
Gandaki College of Engineering and Science,061-443866,gces.edu.np,gces@gces.edu.np,https://www.collegesnepal.com/gandaki-college-of-engineering-and-science/
Gandaki Medical College,061-588595,http://www.gmc.edu.np/,ceo@gmc.edu.np,https://www.collegesnepal.com/gandaki-medical-college/
Ganesh Secondary School,01-4370092,https://sganeshss.edu.np/,sganeshss@gmail.com,https://www.collegesnepal.com/ganesh-secondary-school/
Ganeshman Singh Multiple Campus,01-5234240,https://gmscampus.edu.np/,gmscampus@gmail.com,https://www.collegesnepal.com/ganeshman-singh-multiple-campus/
Garnish School of Hospitality Management,01-4381005,http://www.gshm.edu.np,info@gshm.edu.np,https://www.collegesnepal.com/garnish-school-of-hospitality-management/
GATE College (Global Academy of Tourism and Hospitality Education),01-4650176,http://www.gate.edu.np,info@gate.edu.np,https://www.collegesnepal.com/gate-college-global-academy-of-tourism-and-hospitality-education/
Gateway College of Professional Studies,01-4016565,http://www.gatewaycollege.edu.np/,email@gatewaycollege.edu.np,https://www.collegesnepal.com/gateway-college-of-professional-studies/
Gauradaha Multiple Campus,023-480128,https://gauradahacampus.edu.np/,info@gauradahacampus.edu.np,https://www.collegesnepal.com/gauradaha-multiple-campus/
Gauri Shanker Campus Dolkha,049-421-124,https://gsmultiplecampus.edu.np/,gspultiplecampus@gmail.com,https://www.collegesnepal.com/gauri-shanker-campus-dolkha/
Geetanjali College,014355890,https://www.geetanjalischoolcollege.edu.np/,geetanjalischoolcollege@gmail.com,https://www.collegesnepal.com/geetanjali-college/
Glacier International College,01-4107657,https://glaciercollege.edu.np/,info@glaciercollege.edu.np,https://www.collegesnepal.com/glacier-international-college/
Global College International,01-5970319,www.gci.edu.np,info@gci.edu.np,https://www.collegesnepal.com/global-college-international/
Global College of Management,01-4488312,proed.edu.np/gcm/,info@globalcollege.edu.np,https://www.collegesnepal.com/global-college-of-management/
Gokuleshwor Agriculture and Animal Science College,095-690787,http://gaasc.edu.np/#sthash.7ALGVupc.dpuf,info@gaasc.edu.np,https://www.collegesnepal.com/gokuleshwor-agriculture-and-animal-science-college/
GoldenGate International College,01-4495165,http://www.goldengate.edu.np/,info@goldengate.edu.np,https://www.collegesnepal.com/goldengate-international-college/
Gomendra Multiple College,023-530892,https://gomendracollege.edu.np/,gomendra405@gmail.com,https://www.collegesnepal.com/gomendra-multiple-college/
Gorkha Campus,064-420233,https://www.gorkhacampus.edu.np/,info@gc.tu.edu.np,https://www.collegesnepal.com/gorkha-campus/
Gorkha United Public School,081540105,https://gorkhaschool.com/,gups@gorkhaschool.com,https://www.collegesnepal.com/gorkha-united-public-school/
